docket,county,subdivision,court_room,hearing_type,day_of_week,day,month,time,am_pm,street,city,zip_code,division
219-10-19,addison,small claims,Superior Court Courtroom 2,Small Claims Merits Hearing,Friday,9,Apr,9:00,AM,7 Mahady Court , Middlebury,05753,civil
220-10-19,addison,small claims,Superior Court Courtroom 2,Small Claims Merits Hearing,Friday,9,Apr,9:45,AM,7 Mahady Court , Middlebury,05753,civil
241-11-19,addison,small claims,Superior Court Courtroom 2,Small Claims Trustee Process Hearing,Friday,9,Apr,11:15,AM,7 Mahady Court , Middlebury,05753,civil
74-4-20,addison,small claims,Superior Court Courtroom 2,Financial Disclosure Hearing,Friday,9,Apr,1:00,PM,7 Mahady Court , Middlebury,05753,civil
206-9-14,addison,small claims,Superior Court Courtroom 2,Small Claims Trustee Process Hearing,Friday,9,Apr,1:15,PM,7 Mahady Court , Middlebury,05753,civil
71-3-20,addison,small claims,Superior Court Courtroom 2,Small Claims Merits Hearing,Friday,9,Apr,2:15,PM,7 Mahady Court , Middlebury,05753,civil
150-6-19,addison,small claims,Superior Court Courtroom 2,Contempt Hearing,Friday,9,Apr,3:00,PM,7 Mahady Court , Middlebury,05753,civil
239-11-19,addison,small claims,Superior Court Courtroom 2,Financial Disclosure Hearing,Monday,19,Apr,10:00,AM,7 Mahady Court , Middlebury,05753,civil
92-6-20,addison,small claims,Superior Court Courtroom 2,Financial Disclosure Hearing,Monday,19,Apr,10:15,AM,7 Mahady Court , Middlebury,05753,civil
19-1-20,addison,small claims,Superior Court Courtroom 2,Small Claims Merits Hearing,Monday,19,Apr,11:00,AM,7 Mahady Court , Middlebury,05753,civil
82-5-20,addison,civil,Superior Court Courtroom 2,Status Conference,Friday,23,Apr,9:00,AM,7 Mahady Court , Middlebury,05753,civil
167-8-19,addison,civil,Superior Court Courtroom 2,Pre Trial Conference,Friday,23,Apr,9:15,AM,7 Mahady Court , Middlebury,05753,civil
232-11-19,addison,civil,Superior Court Courtroom 2,Status Conference,Friday,23,Apr,9:30,AM,7 Mahady Court , Middlebury,05753,civil
142-7-19,addison,civil,Superior Court Courtroom 2,Status Conference,Friday,23,Apr,9:45,AM,7 Mahady Court , Middlebury,05753,civil
